episode,return,max_tile,steps,eps_or_alpha,loss_or_td_error,wallclock_s
354,1435.0,512,492,0.1,14.06379,90.0
355,941.0,256,331,0.1,11.9854,90.2
356,1070.0,512,371,0.1,16.37186,90.3
357,1128.0,512,391,0.1,16.3746,90.5
358,486.0,128,184,0.1,11.99137,90.6
359,1532.0,512,524,0.1,14.6211,90.8
360,591.0,128,219,0.1,11.77387,90.9
361,1275.0,256,440,0.1,14.15703,91.0
362,556.0,128,207,0.1,11.30968,91.7
363,835.0,256,296,0.1,14.38448,92.1
364,446.0,128,172,0.1,9.74282,92.2
365,1140.0,512,396,0.1,13.0898,92.4
366,580.0,256,213,0.1,12.84599,92.6
367,1307.0,512,443,0.1,13.20902,92.8
368,1137.0,512,396,0.1,13.63053,94.2
369,976.0,256,340,0.1,14.68381,95.4
370,629.0,256,230,0.1,13.88253,96.0
371,747.0,256,268,0.1,11.73285,96.1
372,1434.0,512,491,0.1,13.44978,97.0
373,623.0,256,226,0.1,14.51428,97.5
374,1118.0,512,386,0.1,14.01197,97.7
375,830.0,256,296,0.1,13.53438,97.8
376,516.0,128,191,0.1,13.34629,98.3
377,943.0,256,332,0.1,11.89661,98.4
378,713.0,256,255,0.1,13.03804,98.5
379,1499.0,512,516,0.1,13.61957,98.7
380,789.0,128,285,0.1,12.20465,98.9
381,1446.0,512,496,0.1,13.83908,99.1
382,806.0,256,286,0.1,14.9536,99.2
383,734.0,256,263,0.1,14.23763,99.7
384,1102.0,512,380,0.1,13.30147,99.9
385,881.0,256,313,0.1,13.58295,100.1
386,351.0,128,136,0.1,12.73188,100.1
387,712.0,256,256,0.1,13.10973,100.3
388,757.0,256,271,0.1,13.93275,100.4
389,1160.0,512,400,0.1,12.3101,100.7
390,1443.0,512,494,0.1,13.49568,101.1
391,1591.0,512,546,0.1,13.88397,101.3
392,655.0,256,235,0.1,13.20535,101.4
393,822.0,256,296,0.1,12.60051,102.2
394,1556.0,512,532,0.1,14.61673,102.5
395,679.0,256,243,0.1,14.45753,102.6
396,970.0,256,342,0.1,13.24173,102.8
397,736.0,256,261,0.1,13.65435,103.0
398,1036.0,256,362,0.1,14.30429,103.1
399,1175.0,512,407,0.1,14.08418,103.4
400,842.0,256,302,0.1,13.32507,103.6
401,839.0,256,299,0.1,13.81731,104.2
402,955.0,256,339,0.1,13.24265,104.3
403,1563.0,512,534,0.1,14.15331,104.5
404,404.0,128,156,0.1,12.46796,104.6
405,986.0,512,346,0.1,11.91719,104.7
406,1175.0,256,411,0.1,14.39646,104.9
407,1376.0,512,476,0.1,13.38606,105.2
408,641.0,256,233,0.1,13.35702,105.4
409,1280.0,512,441,0.1,14.53407,106.5
410,1018.0,256,359,0.1,12.50902,106.8
411,1967.0,1024,662,0.1,13.97366,107.5
412,848.0,256,303,0.1,14.17684,109.0
413,1167.0,512,407,0.1,14.2692,109.9
414,743.0,256,269,0.1,13.8341,111.8
415,278.0,64,114,0.1,12.24984,112.3
416,943.0,256,334,0.1,13.17811,113.5
417,1350.0,512,459,0.1,16.09937,114.7
418,1120.0,512,387,0.1,14.05485,114.9
419,937.0,256,329,0.1,14.14876,115.1
420,506.0,128,186,0.1,12.42573,115.2
421,699.0,256,251,0.1,14.40245,115.3
422,948.0,512,331,0.1,13.12704,115.5
423,589.0,128,220,0.1,14.35773,115.6
424,729.0,256,261,0.1,14.84504,115.8
425,1090.0,256,382,0.1,11.71066,116.0
426,1370.0,512,470,0.1,14.91485,116.3
427,1047.0,256,366,0.1,13.59328,116.6
428,1408.0,512,484,0.1,13.82238,116.9
429,898.0,256,318,0.1,14.36617,117.0
430,1506.0,512,513,0.1,15.2661,117.2
